cik,name,ticker,exchange,market_cap
933267,IRSA INVESTMENTS & REPRESENTATIONS INC,IRS,NYSE,971009280.0
1010000,RUPERT RESOURCES LTD,RUPRF,OTC,956351616.0
1603145,"XPLR Infrastructure, LP",XIFR,NYSE,961275648.0
1643615,"Montrose Environmental Group, Inc.",MEG,NYSE,1025778304.0
1322435,Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund,ETW,NYSE,982809984.0
2011674,YD Bio Ltd,YDES,Nasdaq,1212262272.0
1855747,"Blend Labs, Inc.",BLND,NYSE,923193856.0
1081834,Kuber Resources Corp,KUBR,OTC,957944832.0
1789940,"First Watch Restaurant Group, Inc.",FWRG,Nasdaq,1116128512.0
805267,abrdn Healthcare Investors,HQH,NYSE,1022842880.0
1314102,"EyePoint Pharmaceuticals, Inc.",EYPT,Nasdaq,967424192.0
906013,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC,AWF,NYSE,951975680.0
918965,"SCANSOURCE, INC.",SCSC,Nasdaq,946900480.0
80035,PREFORMED LINE PRODUCTS CO,PLPC,Nasdaq,1171524352.0
1809196,Immatics N.V.,IMTX,Nasdaq,1237475840.0
66004,MIDDLESEX WATER CO,MSEX,Nasdaq,1087484416.0
1747172,"Kayne Anderson BDC, Inc.",KBDC,NYSE,1002898816.0
876779,MAGIC SOFTWARE ENTERPRISES LTD,MGIC,Nasdaq,994183680.0
1698991,"Accel Entertainment, Inc.",ACEL,NYSE,883398976.0
71829,NPK International Inc.,NPKI,NYSE,1093404288.0
1921865,ASP Isotopes Inc.,ASPI,Nasdaq,1085836672.0
1964954,Okeanis Eco Tankers Corp.,ECO,NYSE,1063955840.0
1898795,"LiveWire Group, Inc.",LVWR,NYSE,1191864320.0
1894562,"Prime Medicine, Inc.",PRME,Nasdaq,950200384.0
1742692,InMode Ltd.,INMD,Nasdaq,967732160.0
1477815,"Sweetgreen, Inc.",SG,NYSE,872403968.0
1632127,"Cable One, Inc.",CABO,NYSE,906605120.0
1830043,Bumble Inc.,BMBL,Nasdaq,883295040.0
6845,"APOGEE ENTERPRISES, INC.",APOG,Nasdaq,841507584.0
1711375,Loma Negra Compania Industrial Argentina Sociedad Anonima,LOMA,NYSE,970613056.0
1544206,"Carlyle Secured Lending, Inc.",CGBD,Nasdaq,916390464.0
1490281,"Groupon, Inc.",GRPN,Nasdaq,848541376.0
1425292,"CVR PARTNERS, LP",UAN,NYSE,988472448.0
21535,COHU INC,COHU,Nasdaq,1066675584.0
1762301,Fiverr International Ltd.,FVRR,NYSE,847979456.0
1278895,"BlackRock Enhanced Large Cap Core Fund, Inc.",CII,NYSE,960754368.0
907654,"Oruka Therapeutics, Inc.",ORKA,Nasdaq,1318468096.0
2002473,Bowhead Specialty Holdings Inc.,BOW,NYSE,870582592.0
1096752,EDGEWELL PERSONAL CARE Co,EPC,NYSE,914880960.0
1379785,"Barings BDC, Inc.",BBDC,NYSE,939069312.0
1562528,"Franklin BSP Realty Trust, Inc.",FBRT,NYSE,891036608.0
910612,CBL & ASSOCIATES PROPERTIES INC,CBL,NYSE,916240704.0
2040491,Ategrity Specialty Insurance Co Holdings,ASIC,NYSE,910382784.0
1464343,Atlanticus Holdings Corp,ATLC,Nasdaq,926282496.0
1964333,Burke & Herbert Financial Services Corp.,BHRB,Nasdaq,927259968.0
1434621,"LendingTree, Inc.",TREE,Nasdaq,856163328.0
1655050,"Bain Capital Specialty Finance, Inc.",BCSF,NYSE,914646016.0
1953530,Oculis Holding AG,OCS,Nasdaq,1112134912.0
1982518,Smith Douglas Homes Corp.,SDHC,NYSE,912777088.0
2019103,Solaris Resources Inc.,SLSR,NYSE,1028561920.0
1862461,Real Brokerage Inc,REAX,Nasdaq,816270016.0
700565,"FIRST MID BANCSHARES, INC.",FMBH,Nasdaq,897261568.0
1813814,Mind Medicine (MindMed) Inc.,MNMD,Nasdaq,941968768.0
1122904,"NETGEAR, INC.",NTGR,Nasdaq,956992320.0
1743759,"Corsair Gaming, Inc.",CRSR,Nasdaq,911918016.0
357173,OLD SECOND BANCORP INC,OSBC,Nasdaq,977453760.0
1770121,"Sana Biotechnology, Inc.",SANA,Nasdaq,1438030208.0
1833197,"Latham Group, Inc.",SWIM,Nasdaq,930005632.0
1850235,D-MARKET Electronic Services & Trading,HEPS,Nasdaq,841075584.0
1869105,"BridgeBio Oncology Therapeutics, Inc.",BBOT,Nasdaq,867995968.0
102212,UNIVEST FINANCIAL Corp,UVSP,Nasdaq,884437952.0
1708259,LexinFintech Holdings Ltd.,LX,Nasdaq,960784640.0
